WARNING 2025-12-03 12:50:14,521 middleware 8428 18348 High query count: GET /dealer/reports/ executed 11 queries in 0.01s
WARNING 2025-12-03 12:54:46,706 middleware 8428 18348 High query count: GET /cashier/reports/daily/ executed 12 queries in 0.03s
WARNING 2025-12-03 12:54:48,676 middleware 8428 18348 High query count: GET /cashier/reports/monthly/ executed 43 queries in 0.05s
WARNING 2025-12-04 10:55:57,477 middleware 14052 16452 High query count: GET /cashier/reports/daily/ executed 12 queries in 0.08s
WARNING 2025-12-04 10:55:59,498 middleware 14052 16452 High query count: GET /cashier/reports/monthly/ executed 43 queries in 0.07s
WARNING 2025-12-04 10:56:17,550 middleware 14052 16452 Slow request: POST /login/ took 1.81s with 7 queries
WARNING 2025-12-04 10:57:06,189 middleware 14052 11128 Slow request: POST /login/ took 1.84s with 7 queries
WARNING 2025-12-04 11:01:32,257 middleware 20208 18172 High query count: GET /dealer/inventory/ executed 43 queries in 0.61s
WARNING 2025-12-04 11:02:25,801 middleware 20208 18172 High query count: GET /dealer/inventory/ executed 43 queries in 0.19s
WARNING 2025-12-04 11:03:44,387 middleware 20208 18172 High query count: GET /dealer/cashiers/reports/ executed 12 queries in 0.03s
WARNING 2025-12-04 16:57:52,963 middleware 8220 10788 High query count: GET /cashier/reports/daily/ executed 13 queries in 0.03s
WARNING 2025-12-12 09:29:30,928 middleware 19172 22276 Slow request: POST /login/ took 2.26s with 7 queries
WARNING 2025-12-12 09:30:25,924 middleware 19172 22276 Slow request: POST /login/ took 3.02s with 7 queries
WARNING 2025-12-12 09:35:15,761 middleware 19172 14640 Slow request: POST /login/ took 1.86s with 7 queries
WARNING 2025-12-12 09:39:06,039 middleware 19172 14640 High query count: GET /dealer/reports/ executed 11 queries in 0.15s
WARNING 2025-12-12 09:39:14,253 middleware 19172 14640 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.09s
WARNING 2025-12-12 09:41:24,487 middleware 19172 14640 Slow request: POST /login/ took 1.86s with 7 queries
WARNING 2025-12-12 09:43:05,634 middleware 19172 17456 Slow request: POST /login/ took 1.81s with 7 queries
WARNING 2025-12-12 09:43:22,462 middleware 19172 14640 Slow request: POST /login/ took 1.80s with 7 queries
WARNING 2025-12-12 09:44:31,189 middleware 19172 14640 High query count: GET /dealer/reports/ executed 11 queries in 0.03s
WARNING 2025-12-12 09:44:47,034 middleware 19172 14640 High query count: GET /dealer/reports/stock/ executed 27 queries in 0.08s
WARNING 2025-12-12 09:44:58,547 middleware 19172 14640 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.04s
WARNING 2025-12-12 09:45:58,977 middleware 19172 420 Slow request: POST /login/ took 1.81s with 7 queries
WARNING 2025-12-12 09:46:03,468 middleware 19172 420 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.02s
WARNING 2025-12-12 09:46:19,902 middleware 19172 420 High query count: GET /cashier/reports/monthly/ executed 46 queries in 0.11s
WARNING 2025-12-12 09:48:07,952 middleware 19172 21716 Slow request: POST /login/ took 2.21s with 7 queries
WARNING 2025-12-12 09:48:49,626 middleware 19172 21716 High query count: GET /dealer/reports/ executed 11 queries in 0.03s
WARNING 2025-12-12 09:49:05,817 middleware 19172 21716 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.02s
WARNING 2025-12-12 09:49:13,055 middleware 19172 21716 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.04s
